City,Population,Public Safety,Public Works,Parks & Rec.,Comm. & Econ. Dev.,Public Health,Public Safety per Person,Public Works per Person,Parks & Rec. per Person,Comm. & Econ. Dev. per Person,Public Health per Person,Tax Revenue (% of Golden City),Intergov. Revenue (% of Golden City),Fees & Charges (% of Golden City),Fines (% of Golden City),Licenses & Permits (% of Golden City),Public Safety (% of Golden City),Public Works (% of Golden City),General Gov. (% of Golden City),Parks & Rec. (% of Golden City),Comm. & Econ. Dev. (% of Golden City),Public Health (% of Golden City),Capital Improvements (% of Golden City),Employee Benefits (% of Golden City),Pension Contributions (% of Golden City),Total Revenue (% of Golden City),Total Expenditure (% of Golden City),Revenue per Person (% of Golden City),Expenditure per Person (% of Golden City),Expenditure to Revenue Ratio (% of Golden City)
Bottineau,"2,190.00","$550,000.00","$220,000.00","$110,000.00","$82,500.00","$13,750.00",$251.14,$100.46,$50.23,$37.67,$6.28,0.28,0.33,0.57,0.76,0.72,0.56,0.76,0.39,0.82,0.81,0.79,0.64,0.36,3.49,0.33,0.81,75.08,100.84,128.51
New Town,"2,678.00","$700,000.00","$280,000.00","$140,000.00","$105,000.00","$17,500.00",$261.39,$104.56,$52.28,$39.21,$6.53,0.36,0.43,0.72,0.96,0.92,0.71,0.97,0.50,1.04,1.03,1.00,0.82,0.46,4.44,0.41,1.03,78.14,104.96,128.51
Langdon,"1,742.00","$450,000.00","$180,000.00","$90,000.00","$67,500.00","$11,250.00",$258.32,$103.33,$51.66,$38.75,$6.46,0.23,0.27,0.46,0.62,0.59,0.45,0.62,0.32,0.67,0.66,0.64,0.53,0.29,2.85,0.27,0.66,77.22,103.73,128.51
Casselton,"2,508.00","$650,000.00","$260,000.00","$130,000.00","$97,500.00","$16,250.00",$259.17,$103.67,$51.83,$38.88,$6.48,0.33,0.40,0.67,0.89,0.85,0.66,0.90,0.46,0.97,0.96,0.93,0.76,0.42,4.12,0.39,0.96,77.48,104.07,128.51
Hazen,"2,349.00","$600,000.00","$240,000.00","$120,000.00","$90,000.00","$15,000.00",$255.43,$102.17,$51.09,$38.31,$6.39,0.31,0.36,0.62,0.83,0.79,0.61,0.83,0.43,0.89,0.88,0.86,0.70,0.39,3.80,0.36,0.88,76.36,102.57,128.51
Watford City,"6,939.00","$1,750,000.00","$700,000.00","$350,000.00","$262,500.00","$43,750.00",$252.20,$100.88,$50.44,$37.83,$6.30,0.89,1.06,1.81,2.41,2.29,1.77,2.42,1.24,2.60,2.57,2.51,2.05,1.14,11.09,1.04,2.58,75.39,101.27,128.51
Harvey,"1,622.00","$400,000.00","$160,000.00","$80,000.00","$60,000.00","$10,000.00",$246.61,$98.64,$49.32,$36.99,$6.17,0.20,0.24,0.41,0.55,0.52,0.40,0.55,0.28,0.59,0.59,0.57,0.47,0.26,25.36,0.24,2.72,73.72,457.30,593.48
Bowman,"1,558.00","$400,000.00","$160,000.00","$80,000.00","$60,000.00","$10,000.00",$256.74,$102.70,$51.35,$38.51,$6.42,0.20,0.24,0.41,0.55,0.52,0.40,0.55,0.28,0.59,0.59,0.57,0.47,0.26,25.36,0.24,2.72,76.75,476.09,593.48
Tioga,"2,058.00","$550,000.00","$220,000.00","$110,000.00","$82,500.00","$13,750.00",$267.25,$106.90,$53.45,$40.09,$6.68,0.28,0.33,0.57,0.76,0.72,0.56,0.76,0.39,0.82,0.81,0.79,0.64,0.36,3.49,0.33,0.81,79.89,107.31,128.51
Surrey,"1,347.00","$350,000.00","$140,000.00","$70,000.00","$52,500.00","$8,750.00",$259.84,$103.93,$51.97,$38.98,$6.50,0.18,0.21,0.36,0.48,0.46,0.35,0.48,0.25,0.52,0.51,0.50,0.41,0.23,22.19,0.21,2.38,77.67,481.83,593.48
Golden City (Average),"174,575.86","$98,997,222.22","$28,975,000.00","$13,446,111.11","$10,203,055.56","$1,744,861.11",$567.07,$165.97,$77.02,$58.44,$9.99,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
